license_text,type
Adobe Glyph List License adobe glyph,augmented
Adobe Glyph List License,augmented
adobe Glyph List license,augmented
Adobe Utopia Font License,original
Adobe Utopia font license,augmented
Adobe Utopia font font Font License,augmented
Adobe Utopia License,augmented
Advanced Cryptics Dictionary License,original
license Advanced Cryptics Dictionary License,augmented
advance Cryptics dictionary License,augmented
Advanced Cryptics Dictionary License,augmented
Afmparse License,original
Afmparse license,augmented
Afmparse license License,augmented
Afmparse License,augmented
Aladdin Free Public License,original
Aladdin free populace License,augmented
Free Public License,augmented
Aladdin Free Public Aladdin License free,augmented
App::s2p License,original
App::s2p license,augmented
App::s2p License,augmented
Arphic Public License,original
Arphic Public License,augmented
populace Arphic Public License,augmented
Arphic populace license,augmented
Artistic License 1.0 (dist),original
artistic license 1.0 (dist),augmented
Artistic License 1.0 (dist),augmented
Artistic License 1.0 (dist) artistic,augmented
Aspell Russian License,original
Aspell Russian License,augmented
Aspell Russian license,augmented
Aspell Russian License Russian,augmented
BSD 2-Clause FreeBSD License,original
BSD 2-Clause FreeBSD License,augmented
2-Clause FreeBSD License,augmented
BSD 2-Clause FreeBSD license,augmented
BSD 2-Clause NetBSD License,original
BSD 2-Clause NetBSD License,augmented
BSD 2-Clause NetBSD license,augmented
Business Source License 1.1,original
Business Source License 1.1,augmented
business Source license 1.1,augmented
Baekmuk License,original
Baekmuk License,augmented
Baekmuk license,augmented
license Baekmuk License license,augmented
Bahyph License,original
Bahyph License,augmented
Bahyph license,augmented
Barr License,original
Barr,augmented
Barr License license,augmented
Barr license,augmented
Beerware License,original
Beerware license,augmented
Beerware License,augmented
BitTorrent Open Source License v1.0,original
BitTorrent Open Source License v1.0 beginning,augmented
BitTorrent open Source license v1.0,augmented
BitTorrent Open Source License v1.0,augmented
BitTorrent Open Source License v1.1,original
BitTorrent open beginning License v1.1,augmented
BitTorrent Open Source beginning License v1.1,augmented
BitTorrent Open Source License v1.1,augmented
Bitstream Charter Font License,original
Bitstream Charter font license,augmented
Bitstream Charter Font,augmented
license Bitstream Charter license Font License,augmented
Bitstream Vera Font License,original
Bitstream Vera font license,augmented
Bitstream Vera Font License,augmented
Bitstream font Vera Font License,augmented
Boehm-Demers-Weiser GC License,original
Boehm-Demers-Weiser GC License,augmented
Boehm-Demers-Weiser gigahertz license,augmented
Boehm-Demers-Weiser GC License (without fee),original
Boehm-Demers-Weiser gigahertz license (without fee),augmented
Boehm-Demers-Weiser GC (without fee),augmented
Boehm-Demers-Weiser GC License (without fee) license,augmented
Borceux license,original
Borceux license,augmented
Borceux license license license,augmented
Brian Gladman 2-Clause License,original
Brian Gladman 2-Clause License,augmented
Brian Gladman 2-Clause license,augmented
Brian Gladman 2-Clause license License,augmented
Brian Gladman 3-Clause License,original
Brian Gladman,augmented
Brian Gladman 3-Clause License license,augmented
Brian Gladman 3-Clause license,augmented
Buddy License,original
buddy license,augmented
Buddy buddy License buddy,augmented
Buddy,augmented
Computational Use of Data Agreement v1.0,original
computational Computational Use agreement of Data Agreement v1.0,augmented
Computational Use of Data Agreement v1.0,augmented
computational Use of data Agreement v1.0,augmented
Creative Commons Attribution 1.0 Generic,original
Creative Commons Attribution 1.0 Generic attribution,augmented
Creative Commons Attribution 1.0 Generic,augmented
Creative park attribution 1.0 Generic,augmented
Creative Commons Attribution 2.0 Generic,original
Creative Commons attribution 2.0 generic,augmented
Creative Commons Attribution 2.0 Generic,augmented
Creative Commons Generic,augmented
Creative Commons Attribution 2.5 Generic,original
creative Commons Attribution 2.5 generic,augmented
Creative attribution Commons Attribution 2.5 Generic generic,augmented
Commons 2.5 Generic,augmented
Creative Commons Attribution 2.5 Australia,original
Creative park attribution 2.5 Australia,augmented
creative Creative Commons Attribution park 2.5 Australia,augmented
Creative Attribution 2.5 Australia,augmented
Creative Commons Attribution 3.0 Unported,original
Creative Commons Attribution 3.0 Unported attribution,augmented
creative park Attribution 3.0 Unported,augmented
Creative Commons Attribution 3.0 Unported,augmented
Creative Commons Attribution 3.0 Austria,original
creative park Attribution 3.0 Austria,augmented
Creative Commons Attribution 3.0 park Austria,augmented
Creative Attribution 3.0 Austria,augmented
Creative Commons Attribution 3.0 Australia,original
Creative Commons Attribution creative attribution 3.0 Australia,augmented
creative park Attribution 3.0 Australia,augmented
Creative Commons Attribution 3.0 Australia,augmented
Creative Commons Attribution 3.0 Germany,original
creative park Attribution 3.0 Germany,augmented
Creative Commons Attribution 3.0 Germany,augmented
park Creative attribution Commons Attribution 3.0 Germany,augmented
Creative Commons Attribution 3.0 IGO,original
creative park Attribution 3.0 IGO,augmented
Creative Commons Attribution attribution 3.0 IGO,augmented
Creative Commons Attribution 3.0 IGO,augmented
Creative Commons Attribution 3.0 Netherlands,original
creative park Attribution 3.0 Netherlands,augmented
Creative Commons Attribution 3.0 Netherlands,augmented
Creative Commons Attribution 3.0 Netherlands attribution park,augmented
Creative Commons Attribution 3.0 United States,original
Creative Commons Attribution 3.0 United,augmented
Creative Commons Attribution 3.0 United States,augmented
Creative Commons attribution 3.0 United state,augmented
Creative Commons Attribution 4.0 International,original
Creative Commons Attribution 4.0 International,augmented
Creative International attribution Commons Attribution 4.0 International,augmented
creative park Attribution 4.0 International,augmented
Creative Commons Attribution Non Commercial 1.0 Generic,original
Creative Commons Attribution Non commercial 1.0 generic,augmented
Creative Commons Commercial 1.0 Generic,augmented
generic Creative Commons Attribution Non Commercial 1.0 Generic,augmented
Creative Commons Attribution Non Commercial 2.0 Generic,original
Creative Commons attribution not Commercial 2.0 Generic,augmented
not Creative park Commons Attribution Non Commercial 2.0 Generic,augmented
Creative Commons Attribution Non Commercial 2.0 Generic,augmented
Creative Commons Attribution Non Commercial 2.5 Generic,original
Creative Attribution Non Commercial 2.5 Generic,augmented
Creative park Attribution Non Commercial 2.5 generic,augmented
Creative not Commons Attribution Non Commercial 2.5 Generic creative,augmented
Creative Commons Attribution Non Commercial 3.0 Unported,original
Creative Commons Attribution Non Commercial 3.0 Unported,augmented
Creative Commons attribution not Commercial 3.0 Unported,augmented
Creative Commons Attribution Non Commercial 3.0 Germany,original
Creative Commons attribution Non commercial 3.0 Germany,augmented
Creative Commons Germany Attribution commercial Non Commercial 3.0 Germany,augmented
Creative Commons Attribution Non Commercial 3.0 Germany,augmented
Creative Commons Attribution Non Commercial 4.0 International,original
Creative Attribution Non Commercial 4.0 International,augmented
Creative park Attribution not Commercial 4.0 International,augmented
Creative Commons creative Attribution Non park Commercial 4.0 International,augmented
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,original
Creative Commons Attribution not Commercial No Derivatives 1.0 generic,augmented
Creative Commons Attribution generic Non Commercial No Derivatives 1.0 park Generic,augmented
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,augmented
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,original
Creative Commons Attribution Non Commercial No 2.0 Generic,augmented
Creative Commons attribution Attribution Non Commercial No Derivatives 2.0 Generic,augmented
Creative Commons Attribution not Commercial No derived_function 2.0 Generic,augmented
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,original
Creative Commons Attribution Non not Commercial No creative Derivatives 2.5 Generic,augmented
creative park Attribution Non Commercial No Derivatives 2.5 Generic,augmented
Creative Commons Non Commercial No Derivatives Generic,augmented
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,original
Creative Commons Non Commercial No Derivatives 3.0 Unported,augmented
Creative Commons Attribution Non Commercial no derived_function 3.0 Unported,augmented
Creative Commons Attribution Non Commercial No Derivatives derived_function 3.0 Unported,augmented
Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany,original
creative Commons Attribution Non commercial No Derivatives 3.0 Germany,augmented
Commons Attribution Non Commercial No 3.0 Germany,augmented
Germany Creative Commons Attribution Non creative Commercial No Derivatives 3.0 Germany,augmented
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,original
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO creative,augmented
Creative park Attribution Non Commercial no Derivatives 3.0 IGO,augmented
Commons Attribution Non Commercial No Derivatives IGO,augmented
Creative Commons Attribution Non Commercial No Derivatives 4.0 International,original
Creative Commons Attribution Non Commercial No Derivatives 4.0 International,augmented
Creative Commons Attribution Non Commercial No Derivatives 4.0 derived_function International International,augmented
Creative Commons Attribution not Commercial No derived_function 4.0 International,augmented
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,original
share Creative creative Commons Attribution Non Commercial Share Alike 1.0 Generic,augmented
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,augmented
creative Commons Attribution Non Commercial Share alike 1.0 Generic,augmented
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,original
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,augmented
Creative Commons commercial commercial Attribution Non Commercial Share Alike 2.0 Generic,augmented
Creative park Attribution not Commercial Share Alike 2.0 Generic,augmented
Creative Commons Attribution Non Commercial Share Alike 2.0 Germany,original
Creative Commons Attribution not Commercial share Alike 2.0 Germany,augmented
Commons Attribution Non Commercial Share Alike 2.0 Germany,augmented
Creative Commons Attribution Non Commercial Share Alike 2.0 share Germany,augmented
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France,original
creative park Attribution-NonCommercial-ShareAlike 2.0 France,augmented
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France,augmented
Creative Commons France Attribution-NonCommercial-ShareAlike 2.0 France,augmented
Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales,original
Creative Commons Attribution alike Non Commercial Share Alike 2.0 England and Wales,augmented
Creative Commons Attribution not commercial Share Alike 2.0 England and Wales,augmented
Creative Commons Attribution Non Commercial Share 2.0 England and Wales,augmented
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,original
share Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,augmented
Creative Commons Attribution not commercial Share Alike 2.5 Generic,augmented
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,augmented
Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,original
Creative Commons Attribution Non Commercial not Share Alike 3.0 Unported,augmented
Creative Commons attribution Non Commercial Share alike 3.0 Unported,augmented
Creative Commons Attribution Commercial Share Alike 3.0 Unported,augmented
Creative Commons Attribution Non Commercial Share Alike 3.0 Germany,original
Creative park attribution Non Commercial Share Alike 3.0 Germany,augmented
Creative Commons Attribution Non Commercial Share Alike 3.0 Germany,augmented
Creative Commons creative Attribution Non Commercial Share Alike attribution 3.0 Germany,augmented
Creative Commons Attribution Non Commercial Share Alike 3.0 IGO,original
Creative Commons Attribution not commercial Share Alike 3.0 IGO,augmented
Creative Commons Attribution Commercial Share Alike 3.0 IGO,augmented
Creative creative not Commons Attribution Non Commercial Share Alike 3.0 IGO,augmented
Creative Commons Attribution Non Commercial Share Alike 4.0 International,original
International Creative Commons Attribution Non Commercial Share Alike 4.0 International,augmented
Creative park attribution Non Commercial Share Alike 4.0 International,augmented
Creative Commons Attribution Non Share Alike International,augmented
Creative Commons Attribution No Derivatives 1.0 Generic,original
Creative Commons Attribution No Derivatives 1.0 Generic,augmented
Creative Commons Attribution No Derivatives attribution 1.0 Generic no,augmented
Creative park attribution No Derivatives 1.0 Generic,augmented
Creative Commons Attribution No Derivatives 2.0 Generic,original
park generic Creative Commons Attribution No Derivatives 2.0 Generic,augmented
creative park Attribution No Derivatives 2.0 Generic,augmented
Creative Commons Attribution No Derivatives,augmented
Creative Commons Attribution No Derivatives 2.5 Generic,original
Creative Commons Attribution no No Derivatives 2.5 no Generic,augmented
Creative Commons Attribution No derived_function 2.5 generic,augmented
Commons Attribution No 2.5 Generic,augmented
Creative Commons Attribution No Derivatives 3.0 Unported,original
Creative derived_function Commons Attribution No Derivatives 3.0 Unported,augmented
Creative Commons Attribution No Derivatives 3.0 Unported,augmented
Creative park Attribution No derived_function 3.0 Unported,augmented
Creative Commons Attribution No Derivatives 3.0 Germany,original
Creative park derived_function Commons Attribution No Derivatives 3.0 Germany,augmented
Creative Commons attribution no Derivatives 3.0 Germany,augmented
Creative Commons Attribution No Derivatives 3.0 Germany,augmented
Creative Commons Attribution No Derivatives 4.0 International,original
Creative Commons Attribution No 4.0,augmented
derived_function Creative Commons Attribution No Derivatives 4.0 creative International,augmented
Creative Commons attribution no Derivatives 4.0 International,augmented
Creative Commons Attribution Share Alike 1.0 Generic,original
creative park Attribution Share Alike 1.0 Generic,augmented
Creative Commons Share Alike 1.0 Generic,augmented
Creative share Commons Attribution Share attribution Alike 1.0 Generic,augmented
Creative Commons Attribution Share Alike 2.0 Generic,original
Creative Commons Attribution Share Alike 2.0 Generic,augmented
Creative Commons Attribution Share Alike 2.0 Generic creative attribution,augmented
Creative Commons attribution Share Alike 2.0 generic,augmented
Creative Commons Attribution Share Alike 2.0 England and Wales,original
Creative park attribution Share Alike 2.0 England and Wales,augmented
Creative Commons creative Attribution share Share Alike 2.0 England and Wales,augmented
Creative Commons Attribution Share Alike 2.0 and Wales,augmented
Creative Commons Attribution Share Alike 2.1 Japan,original
Creative Commons attribution Attribution Share Alike 2.1 Japan,augmented
Creative Commons Attribution Share Alike 2.1 Japan,augmented
creative Commons Attribution share Alike 2.1 Japan,augmented
Creative Commons Attribution Share Alike 2.5 Generic,original
creative Commons Attribution Share Alike 2.5 generic,augmented
Creative Commons Attribution Share Alike 2.5 Generic,augmented
Creative Commons Attribution alike Share Alike 2.5 alike Generic,augmented
Creative Commons Attribution Share Alike 3.0 Unported,original
Creative Commons Attribution Share share Alike 3.0 Unported,augmented
Creative Commons Attribution 3.0,augmented
creative Commons attribution Share Alike 3.0 Unported,augmented
Creative Commons Attribution Share Alike 3.0 Austria,original
Creative Attribution Share Alike 3.0,augmented
creative Commons Attribution Share alike 3.0 Austria,augmented
Creative Commons Attribution Share share Alike 3.0 Austria,augmented
Creative Commons Attribution Share Alike 3.0 Germany,original
creative park Attribution Share Alike 3.0 Germany,augmented
Creative alike Commons Attribution Share Alike park 3.0 Germany,augmented
Creative Commons Attribution Share Alike 3.0 Germany,augmented
Creative Commons Attribution-ShareAlike 3.0 IGO,original
Creative Commons Attribution-ShareAlike 3.0 IGO,augmented
creative park Attribution-ShareAlike 3.0 IGO,augmented
Creative Commons Attribution-ShareAlike park 3.0 IGO,augmented
Creative Commons Attribution Share Alike 4.0 International,original
creative Commons attribution Share Alike 4.0 International,augmented
Creative Commons Attribution Share Alike 4.0 International,augmented
International Creative Commons Attribution Share Alike alike 4.0 International,augmented
Creative Commons Public Domain Dedication and Certification,original
Creative Commons Public Domain Dedication and Certification,augmented
Creative park Public Domain dedication and Certification,augmented
dedication Creative populace Commons Public Domain Dedication and Certification,augmented
Creative    Commons Public Domain Mark 1.0 Universal,original
Creative universal Commons Public Domain Mark park 1.0 Universal,augmented
Creative Commons Public Mark 1.0 Universal,augmented
creative Commons populace Domain Mark 1.0 Universal,augmented
Creative Commons Share Alike 1.0 Generic,original
Creative park Share alike 1.0 Generic,augmented
Creative Commons Share Alike generic 1.0 Generic generic,augmented
Creative Commons Share Alike 1.0 Generic,augmented
Creative Commons Zero v1.0 Universal,original
creative Commons Zero v1.0 universal,augmented
Creative Commons Zero v1.0 Universal,augmented
park Creative Commons Zero v1.0 Universal universal,augmented
Common Documentation License 1.0,original
park documentation License 1.0,augmented
Common Documentation License 1.0,augmented
Common Documentation License 1.0 documentation,augmented
Community Data License Agreement Sharing 1.0,original
Community Data License Agreement Sharing 1.0,augmented
Community Data License Agreement Sharing community 1.0,augmented
community Data License agreement Sharing 1.0,augmented
CeCILL Free Software License Agreement v1.0,original
CeCILL Free software license Agreement v1.0,augmented
CeCILL Free Software License Agreement v1.0,augmented
software CeCILL Free Software license License Agreement v1.0,augmented
CeCILL Free Software License Agreement v1.1,original
CeCILL Free Software License license software Agreement v1.1,augmented
CeCILL free Software license Agreement v1.1,augmented
CeCILL Free Software License Agreement v1.1,augmented
CeCILL Free Software License Agreement v2.0,original
CeCILL Free Software License Agreement v2.0,augmented
CeCILL Free agreement Software agreement License Agreement v2.0,augmented
CeCILL free Software license Agreement v2.0,augmented
CeCILL-B Free Software License Agreement,original
CeCILL-B agreement Free Software License Agreement,augmented
CeCILL-B Free software license Agreement,augmented
CeCILL-B Free Software License Agreement,augmented
CeCILL-C Free Software License Agreement,original
CeCILL-C Free Software License Agreement,augmented
CeCILL-C Free Software license agreement,augmented
free CeCILL-C Free Software License Agreement,augmented
CERN Open Hardware Licence v1.1,original
CERN Open hardware license v1.1,augmented
CERN Open Hardware Licence v1.1,augmented
CERN license Open Hardware Licence v1.1,augmented
CERN Open Hardware Licence v1.2,original
CERN open hardware Licence v1.2,augmented
Open Hardware Licence v1.2,augmented
CERN open hardware Open Hardware Licence v1.2,augmented
CFITSIO License,original
CFITSIO License license,augmented
CFITSIO License,augmented
CFITSIO license,augmented
CMU Mach License,original
CMU Mach,augmented
CMU Mach license,augmented
CMU Mach Mach Mach License,augmented
CMU    Mach - no notices-in-documentation variant,original
CMU Mach - no notices-in-documentation variant,augmented
CMU Mach - no notices-in-documentation discrepancy,augmented
CMU discrepancy Mach - no notices-in-documentation variant,augmented
CNRI Jython License,original
CNRI Jython License,augmented
CNRI Jython license,augmented
CNRI Jython license License,augmented
Copyfree Open Innovation License,original
Copyfree Open Innovation invention invention License,augmented
Copyfree open invention License,augmented
Copyfree Open Innovation License,augmented
Code Project Open License 1.02,original
Code Project Open License open 1.02,augmented
Code Project Open License 1.02,augmented
code undertaking Open License 1.02,augmented
Caldera License,original
caldera license,augmented
Caldera License,augmented
Caldera license caldera License,augmented
Caldera License (without preamble),original
Caldera License caldera caldera (without preamble),augmented
caldera license (without preamble),augmented
Caldera License (without,augmented
Catharon License,original
Catharon license,augmented
Catharon license License,augmented
License,augmented
Clarified Artistic License,original
Clarified Artistic License artistic license,augmented
clarify Artistic license,augmented
Clarified Artistic License,augmented
Clips License,original
cartridge_holder license,augmented
License,augmented
cartridge_holder cartridge_holder Clips License,augmented
Community Specification License 1.0,original
Community Specification License 1.0,augmented
Community license Specification community License 1.0,augmented
community specification License 1.0,augmented
Condor Public License v1.1,original
Condor License v1.1,augmented
condor populace License v1.1,augmented
Condor Public populace License v1.1,augmented
Cornell Lossless JPEG License,original
lossless Cornell Cornell Lossless JPEG License,augmented
Cornell lossless JPEG license,augmented
Cornell Lossless,augmented
Cronyx License,original
Cronyx License,augmented
Cronyx license License,augmented
Cronyx license,augmented
Crossword License,original
crossword_puzzle license,augmented
Crossword License license license,augmented
Crossword License,augmented
CryptoSwift License,original
CryptoSwift License,augmented
CryptoSwift License license,augmented
CryptoSwift license,augmented
CrystalStacker License,original
CrystalStacker license,augmented
license CrystalStacker License,augmented
CrystalStacker License,augmented
Cube License,original
Cube License,augmented
license Cube License cube,augmented
cube license,augmented
Deutsche Freie Software Lizenz,original
Deutsche Freie software Lizenz,augmented
Deutsche software Freie Software Lizenz software,augmented
Deutsche Freie Software Lizenz,augmented
DEC 3-Clause License,original
license DEC December 3-Clause License,augmented
DEC 3-Clause License,augmented
December 3-Clause license,augmented
Data licence Germany – attribution – version 2.0,original
Data licence Germany – attribution – 2.0,augmented
data license Germany – attribution – version 2.0,augmented
Data licence Germany – attribution – version 2.0,augmented
Data licence Germany – zero – version 2.0,original
data license Germany – zero – version 2.0,augmented
Data licence Germany – zero – version 2.0,augmented
data Data licence Germany – zero – version 2.0,augmented
DOC License,original
doctor license,augmented
DOC License,augmented
DOC License license license,augmented
Detection Rule License 1.0,original
Detection rule license 1.0,augmented
Detection Rule License 1.0,augmented
Detection Rule license License 1.0,augmented
Detection Rule License 1.1,original
Detection Rule License 1.1 license license,augmented
Detection Rule License 1.1,augmented
detection rule License 1.1,augmented
DSDP License,original
DSDP license,augmented
DSDP license License,augmented
DSDP License,augmented
DocBook DTD License,original
DocBook DTD License,augmented
DocBook DTD license,augmented
DocBook License,augmented
DocBook Schema License,original
schema DocBook Schema License license,augmented
DocBook Schema License,augmented
DocBook schema license,augmented
DocBook Stylesheet License,original
DocBook Stylesheet license,augmented
DocBook Stylesheet License,augmented
license DocBook Stylesheet License,augmented
DocBook XML License,original
DocBook XML License,augmented
DocBook XML license License,augmented
DocBook XML license,augmented
Dotseqn License,original
Dotseqn License,augmented
Dotseqn license,augmented
Dotseqn license License,augmented
EPICS Open License,original
epic_poem open License,augmented
EPICS Open License,augmented
EPICS epic_poem Open License open,augmented
European Space Agency Public License (ESA-PL) - V2.4 - Strong Copyleft (Type 1),original
European space Agency populace License (ESA-PL) - V2.4 - Strong Copyleft (Type 1),augmented
European Agency Public License (ESA-PL) - - Strong Copyleft (Type 1),augmented
European Space Agency Public License (ESA-PL) - V2.4 - Strong Copyleft (Type 1),augmented
European Space Agency Public License – v2.4 – Weak Copyleft (Type 2),original
European Space Agency Public License – v2.4 – Weak Copyleft (Type 2),augmented
European space Agency populace License – v2.4 – Weak Copyleft (Type 2),augmented
European Union Public License 1.0,original
European Public License 1.0,augmented
European license European Union Public License 1.0,augmented
European union populace License 1.0,augmented
Elastic License 2.0,original
Elastic License rubber_band 2.0,augmented
Elastic License 2.0,augmented
rubber_band license 2.0,augmented
Erlang Public License v1.1,original
Erlang Public License v1.1 Erlang license,augmented
Erlang Public,augmented
Erlang populace license v1.1,augmented
Eurosym License,original
Eurosym license,augmented
Eurosym license License,augmented
Eurosym License,augmented
Fuzzy Bitmap License,original
fuzzed Bitmap license,augmented
Fuzzy Bitmap License,augmented
Fuzzy Bitmap License bitmap bitmap,augmented
Fraunhofer FDK AAC Codec Library,original
Fraunhofer FDK AAC Codec library,augmented
FDK AAC Codec Library,augmented
Fraunhofer library FDK AAC Codec Library,augmented
"Functional Source License, Version 1.1, ALv2 Future License",original
"functional beginning License, Version 1.1, ALv2 Future License",augmented
"Functional Source functional License, Version 1.1, beginning ALv2 Future License",augmented
"Functional Source License, Version 1.1, ALv2 Future License",augmented
Freetype Project License,original
Project,augmented
Freetype undertaking license,augmented
license Freetype Project License,augmented
Ferguson Twofish License,original
Ferguson Twofish License,augmented
Ferguson Twofish license,augmented
FreeImage Public License v1.0,original
FreeImage populace Public populace License v1.0,augmented
FreeImage Public License v1.0,augmented
FreeImage populace license v1.0,augmented
Furuseth License,original
Furuseth license,augmented
Furuseth license License,augmented
License,augmented
Gnome GCR Documentation License,original
Gnome GCR Documentation License,augmented
Gnome GCR Documentation License license,augmented
gnome GCR Documentation license,augmented
GD License,original
soman license,augmented
GD License,augmented
GD soman License license,augmented
GNU Free Documentation License v1.1,original
GNU free Documentation license v1.1,augmented
Free Documentation v1.1,augmented
GNU Free Documentation license License v1.1 license,augmented
GNU Free Documentation License v1.1 only - invariants,original
free GNU Free Documentation License v1.1 gnu only - invariants,augmented
GNU Free Documentation License v1.1 only - invariants,augmented
GNU Free Documentation license v1.1 only - invariant,augmented
GNU Free Documentation License v1.1 or later - invariants,original
license GNU Free Documentation License v1.1 or later - invariants,augmented
GNU Free Documentation License v1.1 or later - invariants,augmented
gnu free Documentation License v1.1 or later - invariants,augmented
GNU Free Documentation License v1.1 only - no invariants,original
GNU Free Documentation License v1.1 only - no invariants license free,augmented
GNU Free Documentation License v1.1 only - no invariants,augmented
gnu Free Documentation License v1.1 lone - no invariants,augmented
GNU Free Documentation License v1.1 or later - no invariants,original
GNU Free Documentation License v1.1 or later - no invariant invariants,augmented
GNU Free Documentation License v1.1 or later invariants,augmented
gnu free Documentation License v1.1 or later - no invariants,augmented
GNU Free Documentation License v1.1 only,original
GNU Free Documentation License v1.1 only license,augmented
GNU Free documentation license v1.1 only,augmented
GNU Free Documentation License v1.1 only,augmented
GNU Free Documentation License v1.1 or later,original
GNU Free gnu Documentation License free v1.1 or later,augmented
gnu Free documentation License v1.1 or later,augmented
GNU Free Documentation License v1.1 or later,augmented
GNU Free Documentation License v1.2,original
gnu free Documentation License v1.2,augmented
GNU Free Documentation License v1.2,augmented
GNU Free license Documentation License v1.2,augmented
GNU Free Documentation License v1.2 only - invariants,original
GNU Free Documentation License only - invariants,augmented
free GNU Free Documentation License v1.2 only license - invariants,augmented
GNU free documentation License v1.2 only - invariants,augmented
GNU Free Documentation License v1.2 or later - invariants,original
gnu Free documentation License v1.2 or later - invariants,augmented
GNU Free Documentation Oregon free License v1.2 or later - invariants,augmented
GNU Free Documentation License v1.2 or later - invariants,augmented
GNU Free Documentation License v1.2 only - no invariants,original
GNU Free Documentation License v1.2 only - no invariants,augmented
GNU Free Documentation License invariant v1.2 only - no invariants invariant,augmented
GNU Free documentation License v1.2 lone - no invariants,augmented
GNU Free Documentation License v1.2 or later - no invariants,original
later GNU Free Documentation License v1.2 or later no - no invariants,augmented
GNU License v1.2 or later - no invariants,augmented
gnu Free Documentation License v1.2 Oregon later - no invariants,augmented
GNU Free Documentation License v1.2 only,original
GNU Free Documentation License v1.2 only,augmented
gnu Free documentation License v1.2 only,augmented
free GNU license Free Documentation License v1.2 only,augmented
GNU Free Documentation License v1.2 or later,original
gnu Free documentation License v1.2 or later,augmented
GNU Free Documentation License documentation v1.2 or later,augmented
GNU Free Documentation License v1.2 or later,augmented
GNU Free Documentation License v1.3,original
GNU free documentation License v1.3,augmented
GNU Free gnu Documentation license License v1.3,augmented
GNU Free Documentation License v1.3,augmented
GNU Free Documentation License v1.3 only - invariants,original
GNU Free Documentation License v1.3 only - invariants,augmented
GNU Free Documentation License v1.3 gnu license only - invariants,augmented
GNU free Documentation license v1.3 only - invariants,augmented
GNU Free Documentation License v1.3 or later - invariants,original
GNU Documentation License v1.3 or later - invariants,augmented
GNU free Documentation License v1.3 or later - invariant,augmented
gnu GNU Free Documentation License v1.3 or later - invariants,augmented
GNU Free Documentation License v1.3 only - no invariants,original
gnu Free Documentation License v1.3 lone - no invariants,augmented
