licenseId,name,isOsiApproved,isDeprecatedLicenseId,risk_level,is_safe,risk_explanation_ar
Abstyles,Abstyles License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
AdaCore-doc,AdaCore Doc License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Adobe-2006,Adobe Systems Incorporated Source Code License Agreement,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Adobe-Display-PostScript,Adobe Display PostScript License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Adobe-Glyph,Adobe Glyph List License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Adobe-Utopia,Adobe Utopia Font License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Advanced-Cryptics-Dictionary,Advanced Cryptics Dictionary License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Afmparse,Afmparse License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Aladdin,Aladdin Free Public License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
App-s2p,App::s2p License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Arphic-1999,Arphic Public License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Artistic-dist,Artistic License 1.0 (dist),False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Aspell-RU,Aspell Russian License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
BSD-2-Clause-FreeBSD,BSD 2-Clause FreeBSD License,False,True,DANGEROUS,0,ترخيص قديم ومُلغى رسميًا من SPDX – ممنوع استخدامه
BSD-2-Clause-NetBSD,BSD 2-Clause NetBSD License,False,True,DANGEROUS,0,ترخيص قديم ومُلغى رسميًا من SPDX – ممنوع استخدامه
BUSL-1.1,Business Source License 1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Baekmuk,Baekmuk License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Bahyph,Bahyph License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Barr,Barr License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Beerware,Beerware License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
BitTorrent-1.0,BitTorrent Open Source License v1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
BitTorrent-1.1,BitTorrent Open Source License v1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Bitstream-Charter,Bitstream Charter Font License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Bitstream-Vera,Bitstream Vera Font License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Boehm-GC,Boehm-Demers-Weiser GC License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Boehm-GC-without-fee,Boehm-Demers-Weiser GC License (without fee),False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Borceux,Borceux license,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Brian-Gladman-2-Clause,Brian Gladman 2-Clause License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Brian-Gladman-3-Clause,Brian Gladman 3-Clause License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Buddy,Buddy License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
C-UDA-1.0,Computational Use of Data Agreement v1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-1.0,Creative Commons Attribution 1.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-2.0,Creative Commons Attribution 2.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-2.5,Creative Commons Attribution 2.5 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-2.5-AU,Creative Commons Attribution 2.5 Australia,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-3.0,Creative Commons Attribution 3.0 Unported,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-3.0-AT,Creative Commons Attribution 3.0 Austria,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-3.0-AU,Creative Commons Attribution 3.0 Australia,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-3.0-DE,Creative Commons Attribution 3.0 Germany,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-3.0-IGO,Creative Commons Attribution 3.0 IGO,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-3.0-NL,Creative Commons Attribution 3.0 Netherlands,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-3.0-US,Creative Commons Attribution 3.0 United States,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-4.0,Creative Commons Attribution 4.0 International,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-1.0,Creative Commons Attribution Non Commercial 1.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-2.0,Creative Commons Attribution Non Commercial 2.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-2.5,Creative Commons Attribution Non Commercial 2.5 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-3.0,Creative Commons Attribution Non Commercial 3.0 Unported,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-3.0-DE,Creative Commons Attribution Non Commercial 3.0 Germany,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-4.0,Creative Commons Attribution Non Commercial 4.0 International,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-ND-1.0,Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-ND-2.0,Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-ND-2.5,Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-ND-3.0,Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-ND-3.0-DE,Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-ND-3.0-IGO,Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-ND-4.0,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-1.0,Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-2.0,Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-2.0-DE,Creative Commons Attribution Non Commercial Share Alike 2.0 Germany,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-2.0-FR,Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-2.0-UK,Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-2.5,Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-3.0,Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-3.0-DE,Creative Commons Attribution Non Commercial Share Alike 3.0 Germany,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-3.0-IGO,Creative Commons Attribution Non Commercial Share Alike 3.0 IGO,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-NC-SA-4.0,Creative Commons Attribution Non Commercial Share Alike 4.0 International,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-ND-1.0,Creative Commons Attribution No Derivatives 1.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-ND-2.0,Creative Commons Attribution No Derivatives 2.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-ND-2.5,Creative Commons Attribution No Derivatives 2.5 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-ND-3.0,Creative Commons Attribution No Derivatives 3.0 Unported,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-ND-3.0-DE,Creative Commons Attribution No Derivatives 3.0 Germany,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-ND-4.0,Creative Commons Attribution No Derivatives 4.0 International,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-1.0,Creative Commons Attribution Share Alike 1.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-2.0,Creative Commons Attribution Share Alike 2.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-2.0-UK,Creative Commons Attribution Share Alike 2.0 England and Wales,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-2.1-JP,Creative Commons Attribution Share Alike 2.1 Japan,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-2.5,Creative Commons Attribution Share Alike 2.5 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-3.0,Creative Commons Attribution Share Alike 3.0 Unported,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-3.0-AT,Creative Commons Attribution Share Alike 3.0 Austria,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-3.0-DE,Creative Commons Attribution Share Alike 3.0 Germany,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-3.0-IGO,Creative Commons Attribution-ShareAlike 3.0 IGO,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-PDDC,Creative Commons Public Domain Dedication and Certification,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-PDM-1.0,Creative    Commons Public Domain Mark 1.0 Universal,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CC-SA-1.0,Creative Commons Share Alike 1.0 Generic,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CDL-1.0,Common Documentation License 1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CDLA-Sharing-1.0,Community Data License Agreement Sharing 1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CECILL-1.0,CeCILL Free Software License Agreement v1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CECILL-1.1,CeCILL Free Software License Agreement v1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CECILL-2.0,CeCILL Free Software License Agreement v2.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CECILL-B,CeCILL-B Free Software License Agreement,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CECILL-C,CeCILL-C Free Software License Agreement,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CERN-OHL-1.1,CERN Open Hardware Licence v1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CERN-OHL-1.2,CERN Open Hardware Licence v1.2,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CFITSIO,CFITSIO License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CMU-Mach,CMU Mach License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CMU-Mach-nodoc,CMU    Mach - no notices-in-documentation variant,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CNRI-Jython,CNRI Jython License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
COIL-1.0,Copyfree Open Innovation License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CPOL-1.02,Code Project Open License 1.02,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Caldera,Caldera License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Caldera-no-preamble,Caldera License (without preamble),False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Catharon,Catharon License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ClArtistic,Clarified Artistic License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Clips,Clips License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Community-Spec-1.0,Community Specification License 1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Condor-1.1,Condor Public License v1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Cornell-Lossless-JPEG,Cornell Lossless JPEG License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Cronyx,Cronyx License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Crossword,Crossword License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CryptoSwift,CryptoSwift License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
CrystalStacker,CrystalStacker License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Cube,Cube License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
D-FSL-1.0,Deutsche Freie Software Lizenz,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DEC-3-Clause,DEC 3-Clause License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DL-DE-BY-2.0,Data licence Germany – attribution – version 2.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DL-DE-ZERO-2.0,Data licence Germany – zero – version 2.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DOC,DOC License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DRL-1.0,Detection Rule License 1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DRL-1.1,Detection Rule License 1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DSDP,DSDP License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DocBook-DTD,DocBook DTD License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DocBook-Schema,DocBook Schema License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DocBook-Stylesheet,DocBook Stylesheet License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
DocBook-XML,DocBook XML License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Dotseqn,Dotseqn License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
EPICS,EPICS Open License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ESA-PL-strong-copyleft-2.4,European Space Agency Public License (ESA-PL) - V2.4 - Strong Copyleft (Type 1),False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ESA-PL-weak-copyleft-2.4,European Space Agency Public License – v2.4 – Weak Copyleft (Type 2),False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Elastic-2.0,Elastic License 2.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ErlPL-1.1,Erlang Public License v1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Eurosym,Eurosym License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
FBM,Fuzzy Bitmap License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
FDK-AAC,Fraunhofer FDK AAC Codec Library,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
FSL-1.1-ALv2,"Functional Source License, Version 1.1, ALv2 Future License",False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
FTL,Freetype Project License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Ferguson-Twofish,Ferguson Twofish License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
FreeImage,FreeImage Public License v1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
Furuseth,Furuseth License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
GCR-docs,Gnome GCR Documentation License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
GD,GD License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
GFDL-1.1,GNU Free Documentation License v1.1,False,True,DANGEROUS,0,ترخيص قديم ومُلغى رسميًا من SPDX – ممنوع استخدامه
GFDL-1.1-invariants-only,GNU Free Documentation License v1.1 only - invariants,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
GFDL-1.1-invariants-or-later,GNU Free Documentation License v1.1 or later - invariants,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
GFDL-1.1-no-invariants-only,GNU Free Documentation License v1.1 only - no invariants,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
GFDL-1.1-no-invariants-or-later,GNU Free Documentation License v1.1 or later - no invariants,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
